TimeStamp,Model,Epochs,Iteration,Val_Loss,Val_Acc
20241216_055853,Model_7,10,2,0.7007,0.8014
20241216_055951,Model_7,10,3,1.0631,0.7832
20241216_060049,Model_7,10,4,1.4005,0.7931
20241216_060147,Model_7,10,5,1.6479,0.7832
20241216_060313,Model_7,15,1,2.2474,0.7863
20241216_060439,Model_7,15,2,2.6122,0.7885
20241216_060605,Model_7,15,3,2.9395,0.7908
20241216_060731,Model_7,15,4,3.2530,0.7923
20241216_060858,Model_7,15,5,3.5539,0.7938
20241216_061052,Model_7,20,1,3.9482,0.7946
20241216_061247,Model_7,20,2,4.3459,0.7915
20241216_061442,Model_7,20,3,4.7957,0.7908
20241216_061632,Model_7,20,4,5.3575,0.7878
20241216_061821,Model_7,20,5,1.7859,0.8029
20241216_062038,Model_7,25,1,2.4321,0.8051
20241216_062255,Model_7,25,2,2.9372,0.8044
20241216_062512,Model_7,25,3,3.4214,0.8036
20241216_062731,Model_7,25,4,3.9163,0.8006
20241216_062954,Model_7,25,5,4.6755,0.8036
20241216_063053,Model_8,10,1,0.9904,0.5514
20241216_063150,Model_8,10,2,1.1441,0.5408
20241216_063248,Model_8,10,3,1.4082,0.6435
20241216_063345,Model_8,10,4,2.3579,0.6533
20241216_063440,Model_8,10,5,2.6949,0.6443
20241216_063601,Model_8,15,1,2.9981,0.6390
20241216_063721,Model_8,15,2,5.3032,0.6533
20241216_063841,Model_8,15,3,7.2057,0.6533
20241216_064001,Model_8,15,4,8.6086,0.6495
20241216_064122,Model_8,15,5,9.8403,0.6458
20241216_064309,Model_8,20,1,11.2070,0.6450
20241216_064455,Model_8,20,2,12.2069,0.6465
20241216_064642,Model_8,20,3,12.4340,0.6443
20241216_064830,Model_8,20,4,12.1026,0.6450
20241216_065017,Model_8,20,5,2.8098,0.6511
20241216_065230,Model_8,25,1,5.9379,0.6511
20241216_065444,Model_8,25,2,7.9109,0.6518
20241216_065659,Model_8,25,3,9.3760,0.6495
20241216_065913,Model_8,25,4,10.5693,0.6503
20241216_070127,Model_8,25,5,11.0833,0.6548
